84.68,4.4,8.92,6.6,6.86,1,6.0,8.13,6.5
51.18,11.1,7.08,9.8,8.58,3,14.5,14.0,9.5
58.62,10.3,10.33,12.0,9.19,5,12.5,10.3,9.5
68.77,6.4,7.35,5.5,8.49,3,6.0,8.04,5.5
53.89,14.2,6.86,14.8,9.04,6,19.0,15.95,14.5
69.79,6.0,3.28,1.9,8.87,1,5.5,8.0,5.5
14.64,25.1,13.13,31.1,10.08,10,41.5,25.26,24.5
90.77,2.1,8.17,5.1,9.2,2,2.0,2.4,1.5
9.56,20.9,16.66,24.0,12.88,14,30.0,25.51,12.5
60.65,9.5,8.36,9.4,9.57,3,11.5,9.71,9.5
11.92,15.8,14.5,13.7,10.98,7,13.5,13.86,13.5
44.75,11.5,9.16,9.8,11.55,5,13.0,13.87,11.5
29.52,11.1,13.01,10.8,9.95,3,5.5,8.2,10.5
59.64,9.9,7.95,9.8,9.37,4,12.5,10.0,9.5
58.62,10.3,10.62,12.0,9.19,5,13.0,12.21,9.5
56.25,9.1,8.81,8.1,11.75,5,9.0,11.33,8.5
50.84,9.2,8.92,6.9,9.5,3,6.5,8.13,8.5
71.82,11.4,6.16,13.9,8.62,4,18.0,14.41,13.5
32.56,10.0,6.12,4.6,13.36,1,3.0,10.0,9.5
58.96,12.2,4.71,11.3,8.34,3,19.5,14.36,11.5
67.08,9.1,5.34,8.6,10.69,3,13.5,10.3,8.5
38.32,18.1,8.95,19.8,9.91,6,27.0,21.28,0.5
74.19,6.4,2.02,2.4,8.84,2,8.0,8.46,8.5
90.77,2.1,4.28,2.0,6.57,1,2.0,2.4,1.5
62.34,6.8,7.39,6.1,9.35,2,5.0,3.6,6.5
76.56,7.6,6.79,8.4,10.16,4,11.5,10.0,7.5
61.33,7.2,9.08,6.2,10.45,4,6.0,12.0,5.5
36.63,14.6,10.91,14.7,9.18,6,19.5,16.55,14.5
49.15,18.1,5.82,20.6,9.66,7,29.0,21.35,20.5
63.02,10.7,5.06,9.2,7.4,3,14.0,10.0,9.5
20.04,12.7,15.11,10.8,12.86,4,7.5,21.38,12.5
58.28,8.4,9.5,7.5,10.35,3,7.5,11.35,7.5
44.41,9.6,10.24,7.6,10.45,4,6.5,12.0,9.5
59.64,9.9,8.24,9.5,8.58,5,11.5,10.0,9.5
35.61,8.8,-1.61,3.1,11.63,1,1.0,20.8,11.5
71.82,5.2,1.41,0.8,13.9,2,4.5,8.2,4.5
119.19,-2.7,5.35,5.2,14.31,0,0.5,1.2,0.5
82.99,7.2,0.93,4.8,8.32,2,12.5,10.62,7.5
64.71,8.0,8.81,8.7,9.64,1,8.0,6.0,7.5
75.2,6.0,4.57,3.9,11.57,4,6.0,5.2,5.5
48.47,14.2,9.3,16.3,11.29,5,20.0,14.98,14.5
43.06,14.2,8.71,14.3,7.28,3,20.5,14.06,13.5
42.38,16.5,10.92,19.9,8.46,5,23.0,18.04,10.5
14.63,12.7,9.15,8.3,14.46,2,5.0,15.73,12.5
83.32,2.9,1.48,-0.2,10.2,1,1.5,2.0,1.5
64.71,8.0,7.24,6.8,9.64,4,8.0,8.67,7.5
28.5,11.5,11.86,8.7,12.86,4,7.0,16.93,11.5
47.12,12.7,10.1,13.3,9.43,5,17.0,14.6,12.5
99.23,0.9,3.35,1.2,6.57,1,2.0,2.4,1.5
54.22,9.9,8.0,8.1,7.27,3,11.0,11.51,7.5
-18.21,17.0,11.92,8.4,16.52,3,3.5,18.0,16.5
29.52,11.1,13.01,10.8,9.95,3,5.5,8.2,10.5
81.29,3.7,2.44,0.9,8.5,1,4.0,8.51,3.5
85.02,6.4,6.21,7.6,9.37,2,9.0,8.0,7.5
119.19,-2.7,-6.26,-4.3,0.15,0,0.5,1.2,0.5
69.79,6.0,10.82,7.6,10.45,4,4.0,4.0,3.5
71.82,5.2,5.76,4.4,9.95,1,5.0,8.2,4.5
42.38,10.3,11.3,9.3,10.81,4,7.0,8.13,10.5
75.88,3.7,8.7,7.7,7.78,1,1.5,1.6,7.5
80.62,6.0,4.52,4.8,5.42,0,7.5,6.4,5.5
63.02,10.7,7.14,11.6,8.03,3,16.0,11.6,11.5
101.6,2.1,6.02,4.6,6.86,0,5.5,4.8,4.5
46.44,8.8,12.25,8.5,9.95,3,4.0,8.2,8.5
64.37,6.0,13.17,9.0,10.75,2,3.5,8.51,8.5
90.77,2.1,0.45,-0.5,6.57,0,2.5,2.4,2.5
87.72,3.3,4.78,2.4,9.35,3,3.5,3.6,3.5
99.23,0.9,-0.54,-1.2,9.2,0,2.5,2.4,0.5
93.81,0.9,-0.46,0.5,9.05,1,0.5,1.2,0.5
34.59,9.2,11.15,9.9,9.05,1,1.5,14.53,9.5
