84.68,4.4,6.95,5.0,5.55,0,5.0,4.8,4.5
43.73,11.9,7.78,9.9,8.73,3,14.0,13.92,13.5
58.62,10.3,10.62,12.1,9.19,5,12.5,10.3,9.5
51.85,8.8,8.97,6.8,8.49,3,7.0,11.67,8.5
62.35,13.0,5.29,13.7,9.04,5,18.0,14.78,12.5
61.33,7.2,4.44,2.9,8.87,1,5.5,8.0,7.5
13.62,25.5,12.9,31.4,9.79,9,40.5,24.91,12.5
73.85,4.5,5.27,2.8,9.2,2,2.0,2.4,4.5
9.56,20.9,16.2,23.7,12.88,14,29.0,24.4,12.5
60.65,9.5,7.43,8.7,9.57,3,11.5,9.71,9.5
20.38,14.6,13.8,13.1,10.98,6,12.5,11.51,12.5
36.28,12.7,10.44,10.8,11.55,5,13.0,13.87,12.5
29.52,11.1,10.11,8.5,9.95,2,5.5,8.2,9.5
51.18,11.1,8.82,10.5,9.37,4,12.5,10.0,9.5
57.61,10.7,9.86,11.8,8.32,4,13.5,12.44,9.5
47.79,10.3,9.21,8.3,11.75,5,9.0,11.33,8.5
59.3,8.0,6.48,5.0,9.5,3,5.5,4.8,4.5
70.81,11.8,6.69,14.8,9.04,4,18.5,14.78,14.5
66.4,5.2,0.32,-0.2,13.36,0,2.0,2.0,0.5
58.96,12.2,4.13,10.8,7.8,2,19.5,14.36,0.5
58.62,10.3,5.63,8.8,10.69,3,13.5,10.3,10.5
39.34,17.7,9.12,19.8,10.36,6,27.0,21.0,17.5
74.19,6.4,0.34,1.1,7.71,1,7.0,5.6,6.5
90.77,2.1,1.38,-0.5,9.2,1,2.0,2.4,1.5
62.34,6.8,8.67,7.1,9.35,1,5.0,3.6,8.5
58.62,10.3,8.41,10.2,9.94,4,14.0,12.21,9.5
52.87,8.4,8.5,5.7,10.45,4,6.0,12.0,5.5
28.17,15.8,11.15,14.9,9.78,6,19.5,16.55,15.5
41.71,18.9,5.82,20.1,10.04,8,28.5,21.01,18.5
53.55,12.3,6.45,10.8,7.96,4,14.5,10.4,10.5
20.04,12.7,13.83,9.8,12.86,4,6.5,16.93,12.5
58.28,8.4,9.03,7.2,9.14,2,7.5,11.35,7.5
